Interval=	0.0025 s
ExcelDateTime=	4.6155602187774326e+004	5/13/2026 14:27:09.023702
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
152.39	-6.55625
152.3925	0.86875
152.395	4.58125
152.3975	5.5375
152.4	5.1875
152.4025	2.4375
152.405	-2.425
152.4075	-5.98125
152.41	-6.7
152.4125	-4.95625
152.415	-0.75
152.4175	2.8875
152.42	1.375
152.4225	-3.4625
152.425	-4.1875
152.4275	2.43125
152.43	10.90625
152.4325	14.56875
152.435	13.64375
152.4375	12.01875
152.44	10.49375
152.4425	4.975
152.445	-6.70625
152.4475	-19.2125
152.45	-25.7375
152.4525	-25.86875
152.455	-22.45625
152.4575	-17.3625
152.46	-12.025
152.4625	-7.1625
152.465	-3.3
152.4675	-1.26875
152.47	-3.70625
152.4725	-11.7
152.475	-19.24375
152.4775	-21.1375
152.48	-21.475
152.4825	-24.28125
152.485	-27.575
152.4875	-28.33125
152.49	-24.33125
152.4925	-17.2625
152.495	-13.05
152.4975	-13.93125
152.5	-16.00625
152.5025	-16.49375
152.505	-16.8875
152.5075	-17.3625
152.51	-16.66875
152.5125	-19.18125
152.515	-28.975
152.5175	-37.29375
152.52	-34.03125
152.5225	-18.125
152.525	3.0875
152.5275	12.8125
152.53	3.25625
152.5325	-12.04375
152.535	-19.75625
152.5375	-22.38125
152.54	-24.31875
152.5425	-23.83125
152.545	-19.30625
152.5475	-12.18125
152.55	-6.25
152.5525	-5.75625
152.555	-12.54375
152.5575	-24.10625
152.56	-36.425
152.5625	-44.41875
152.565	-39.36875
152.5675	-22.9125
152.57	-7.00625
152.5725	0.80625
152.575	0.2625
152.5775	-6.2875
152.58	-15.38125
152.5825	-26.56875
152.585	-43.3875
152.5875	-61.75
152.59	-70.10625
152.5925	-62.74375
152.595	-45.69375
152.5975	-27.06875
152.6	-9.725
152.6025	1.725
152.605	-1.56875
152.6075	-16.7375
152.61	-29.275
152.6125	-34.38125
152.615	-37.30625
152.6175	-37.54375
152.62	-33.8875
152.6225	-30.75625
152.625	-26.9375
152.6275	-19.1125
152.63	-12.83125
152.6325	-16.15625
152.635	-26.125
152.6375	-32.40625
152.64	-29.80625
152.6425	-21.5
152.645	-13.61875
152.6475	-9.3375
152.65	-8.21875
152.6525	-8.075
152.655	-7.65625
152.6575	-7.5375
152.66	-6.4125
152.6625	-0.625
152.665	9.11875
152.6675	19.6625
152.67	29.4
152.6725	32.56875
152.675	24
152.6775	11.4875
152.68	4.65
152.6825	2.30625
152.685	2.3375
152.6875	4.6125
152.69	5.28125
152.6925	1.40625
152.695	-4.25625
152.6975	-6.7875
152.7	-4.55625
152.7025	1.85625
152.705	13.3125
152.7075	25.9625
152.71	30.64375
152.7125	27.08125
152.715	21.325
152.7175	8.875
152.72	-12.21875
152.7225	-23.325
152.725	-11.68125
152.7275	7.1625
152.73	13.0875
152.7325	5.59375
152.735	-2.925
152.7375	6.73125
152.74	36.8375
152.7425	52.28125
152.745	32.7375
152.7475	5.21875
152.75	-10.43125
152.7525	-25.16875
152.755	-37.525
152.7575	-34.19375
152.76	-19.20625
152.7625	-3.93125
152.765	7.975
152.7675	12.75625
152.77	5.80625
152.7725	-5.425
152.775	-8.36875
152.7775	-1.41875
152.78	6.5625
152.7825	9.025
152.785	12.4
152.7875	21.81875
152.79	25.65
152.7925	15.49375
152.795	4.975
152.7975	6.6875
152.8	17
152.8025	24.3375
152.805	20.7625
152.8075	9.075
152.81	-6.175
152.8125	-21.19375
152.815	-30.7625
152.8175	-30.575
152.82	-17.425
152.8225	5.5375
152.825	20.2
152.8275	16.76875
152.83	8.275
152.8325	1.79375
152.835	-8.0125
152.8375	-21.71875
152.84	-37.25
152.8425	-48.7125
152.845	-45.4375
152.8475	-29.2875
152.85	-18.825
152.8525	-25.5125
152.855	-39.175
152.8575	-42.9375
152.86	-33.7375
152.8625	-23.1625
152.865	-20.7625
152.8675	-27.525
152.87	-36.5125
152.8725	-40.03125
152.875	-38.7875
152.8775	-35.81875
152.88	-29.5375
152.8825	-22.9125
152.885	-23.6375
152.8875	-31.60625
152.89	-40.75
152.8925	-46.95625
152.895	-48.125
152.8975	-45.11875
152.9	-43.3375
152.9025	-44.85625
152.905	-45.975
152.9075	-44.7
152.91	-42.73125
152.9125	-39.7375
152.915	-33.58125
152.9175	-26.2375
152.92	-22.50625
152.9225	-23.9
152.925	-27.175
152.9275	-31.31875
152.93	-37.46875
152.9325	-42.275
152.935	-40.31875
152.9375	-32.0375
152.94	-22.6875
152.9425	-18.58125
152.945	-23.90625
152.9475	-34.11875
152.95	-41.63125
152.9525	-40.84375
152.955	-32.2375
152.9575	-26.45
152.96	-28.95
152.9625	-32.99375
152.965	-33.175
152.9675	-29.89375
152.97	-21.8875
152.9725	-10.175
152.975	-4.08125
152.9775	-13.61875
152.98	-34.36875
152.9825	-49.1375
152.985	-48.45
152.9875	-34.66875
152.99	-19.325
152.9925	-15.7125
152.995	-24.5875
152.9975	-35.68125
153	-39.51875
153.0025	-31.7375
153.005	-18.5
153.0075	-12.5875
153.01	-15.2625
153.0125	-18.36875
153.015	-20.01875
153.0175	-25.8875
153.02	-35.575
153.0225	-41.025
153.025	-38.89375
153.0275	-30.28125
153.03	-19.2
153.0325	-12.16875
153.035	-11.075
153.0375	-9.2375
153.04	-4.925
153.0425	-6.60625
153.045	-18.39375
153.0475	-34.7125
153.05	-47.65625
153.0525	-54.525
153.055	-53.99375
153.0575	-46.175
153.06	-33.56875
153.0625	-18.83125
153.065	-6.6375
153.0675	-2.91875
153.07	-9.2
153.0725	-19.16875
153.075	-23.86875
153.0775	-22.875
153.08	-23.63125
153.0825	-28.6875
153.085	-32.225
153.0875	-30.34375
153.09	-25.15
153.0925	-18.16875
153.095	-8.3625
153.0975	1.35625
153.1	3.475
153.1025	-3.0375
153.105	-9.3
153.1075	-8.3875
153.11	-3.04375
153.1125	-0.8875
153.115	-3.9
153.1175	-8.13125
153.12	-9.9375
153.1225	-8.4125
153.125	-5.325
153.1275	-3.20625
153.13	-1.79375
153.1325	0.58125
153.135	-0.01875
153.1375	-6.375
153.14	-14.6625
